timestamp,device_localId,appName,prevRow
43:45.0,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:44.5,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:44.1,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:37.2,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:37.2,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:35.0,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:33.5,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:33.4,s:D46AAF8B-FDF1-4BEC-BF54-4FDC1C79446C,MSPaint,Remix3D
43:32.1,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:32.1,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:31.9,s:C24C86F3-0371-4CBB-8DC5-857FBEB318AE,MSPaint,Remix3D
43:31.7,s:9BDA4393-27E0-4FF4-9278-59DE399064C9,MSPaint,Remix3D
43:28.5,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:28.4,s:2A326C58-5A79-48DA-B9E8-34427CF8F03D,MSPaint,Remix3D
43:27.8,s:C24C86F3-0371-4CBB-8DC5-857FBEB318AE,MSPaint,Remix3D
43:26.4,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:25.3,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:24.7,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:24.6,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
43:24.2,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:24.0,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:22.8,s:C24C86F3-0371-4CBB-8DC5-857FBEB318AE,MSPaint,Remix3D
43:22.6,s:BC352406-DFD7-46F9-B5E0-8810F4030751,MSPaint,Remix3D
43:22.2,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:22.0,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:21.0,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:20.7,s:43E3D459-9E29-4A00-AD87-42B16F7E4DBD,MSPaint,Remix3D
43:20.5,s:F56469C1-E8BB-484C-9234-A0AC68767F83,MSPaint,Remix3D
43:19.7,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:19.7,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:19.3,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:18.2,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:17.1,s:FF7D8200-4988-4943-BC64-136A5B91D2BE,MSPaint,Remix3D
43:16.6,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:15.8,s:D1B00721-1E81-4F88-B603-B396156D22CD,MSPaint,Remix3D
43:15.7,s:1514F873-FBD2-4363-B81D-619064FBA9F7,MSPaint,Remix3D
43:15.7,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:15.3,s:3FC95697-9917-4767-93B2-AA2DBE7EBC16,MSPaint,Remix3D
43:14.8,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:13.1,s:C24C86F3-0371-4CBB-8DC5-857FBEB318AE,MSPaint,Remix3D
43:13.0,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:12.5,s:E85B1EA6-BFD4-44C9-A2E5-700CEEC40492,MSPaint,Remix3D
43:11.7,s:4081D96E-D3BC-4240-B583-94C3814AC76F,MSPaint,Remix3D
43:11.4,s:38822E0C-BD5F-4E2D-A101-30345EF08C25,MSPaint,Remix3D
